Prestazione,Preparazione
Distretto di Bardolino D4 (lago),"Prenotazioni SOLO di mercoledì
Piccolo Distretto / Dalle 7.30 alle 9.00"
Ospedale di Bovolone D3,"USA i CODICI per gli appuntamenti. (hanno il mercato il martedi)
dal lunedì al venerdì dalle 7.00 alle 10.30 / il sabato dalle 7.30 alle 8.30 su prenotazione telefonica al numero 045 6999581 o recandosi personalmente presso la segreteria del laboratorio analisi; in entrambi i casi dal lunedì al venerdì dalle 11:30 alle 12:30."
Ospedale di Bussolengo D4,"USA i CODICI per gli appuntamenti. (hanno il mercato il giovedì)
dal lunedì al venerdì dalle 7.00 alle 11.00 / il Sabato dalle 8.00 alle 11.00
Percorso: PORTA CENTRALE, PIANO -1. Non devono passare per le casse: vanno direttamente al punto prelievi."
Centro Polifunzionale di Caprino Veronese D4,dal lunedì al venerdì dalle 7.00 alle 10.00
Centro Polifunzionale di Cologna Veneta D3,dal lunedì al venerdì dalle 7.00 alle 9.30 (hanno il mercato il mercoledì)
Distretto di Domegliara D4,"Piccolo Distretto (hanno il mercato il mercoledì)
dal lunedì al venerdì dalle 7.30 alle 9.00"
Centro Polifunzionale di Isola della Scala D4,dal lunedì al venerdì dalle 7.30 alle 9.30 (hanno il mercato il venerdì)
Ospedale di Legnago D3,"USA i CODICI per gli appuntamenti. (hanno il mercato il Sabato)
dal lunedì al venerdì dalle 7.30 alle 11.00 / il Sabato dalle 7.30 alle 11.00
Percorso: PORTA CENTRALE a SX. Non devono passare per le casse: vanno direttamente al punto prelievi."
Ospedale di Malcesine D4 (Lago),"Piccolo Distretto
dal lunedì al venerdì dalle 7.00 alle 9.00"
Ospedale di Marzana D1 (Verona Nord),"D1 - Molto fiscali. IMPORTANTE IL MESSAGGIO (NON TUTTI I MERCOLEDì)
lunedì, martedì, giovedì, venerdì dalle 7.30 alle 9.00"
Centro Polifunzionale di Nogara D3,dal lunedì al venerdì dalle 7.30 alle 9.30 / il sabato dalle 7.30 alle 9.00 MA NON E' PRENOTABILE (hanno il mercato il giovedì)
Ospedale di San Bonifacio D1,"USA i CODICI per gli appuntamenti. (hanno il mercato il mercoledì)
dal lunedì al venerdì dalle 7.00 alle 11.00 / il sabato dalle 7.00 alle 10.00 | Libero Accesso tutti i giorni dalle 10.30 alle 11.30 
Percorso: PRIMO PIANO, VICINO la RADIOLOGIA. Non devono passare per le casse: vanno direttamente al punto prelievi."
Distretto di San Giovanni Lupatoto D1,"dal lunedì al venerdì dalle 7.30 alle 9.30 (hanno il mercato il venerdì)
Struttura del D1 che temporanemente si trova nella ex Casa di Riposo ""Casa Albergo"" in via Cellini 16. Attenzione che se si scrive distretto su Google li mandano in Via Belluno (temporaneamente chiusa per via dei lavori di ristrutturazione)"
Distretto di Sommacamagna D4,"Prenotazioni SOLO di lunedì dalle 07:30 alle 09:00 - Piccolo Distretto
Struttura del D4 MOLTO PICCOLA e che non esegue oltre lo standard"
Centro Polifunzionale di Tregnago D1,"USA i CODICI per gli appuntamenti.
dal lunedì al venerdì dalle 7.00 alle 9.00 / il sabato dalle 7.30 alle 9.00  (hanno il mercato il primo ed il terzo sabato del mese)
Struttura del D1 vicino ad Illasi: zona Montagna
Percorso: PIANO TERRA. Non devono passare per le casse: vanno direttamente al punto prelievi."
Centro Polifunzionale di Valeggio sul Mincio D4,"dal lunedì al venerdì dalle 7.00 alle 9.00
Zona Vicino a Mantova"
Distretto di Verona - Via Poloni 1 D1,"USA i CODICI per gli appuntamenti.
dal lunedì al sabato dalle 7.00 alle 9.30
Percorso: APPENA DOPO L'INGRESSO, DRITTO. Non devono passare per le casse: vanno direttamente al punto prelievi.
o Val Verde (sarebbe Via della Valle Verde in realtà) vicino all'ACI di Verona. Difficile da parcheggiare ma in pieno centro storico di Verona"
Ospedale di Villafranca D4,"USA i CODICI per gli appuntamenti.  (hanno il mercato il mercoledì)
dal lunedì al venerdì dalle 7.00 alle 9.30 | l'ultimo sabato del mese dalle 7.30 alle 9.30
Percorso: INGRESSO a DX (casse a SX). Non devono passare per le casse: vanno direttamente al punto prelievi.
Villafranca di Verona, distretto annesso al D4: buona struttura. Attenzione che il mercoledì c'è mercato e non si parcheggia"
Centro Polifunzionale di Zevio D3,dal lunedì al venerdì dalle 7.30 alle 9.30
Sabato,Bussolengo / Legnago / Nogara NON PRENOTABILE / San Bonifacio / Verona Via Poloni / Villafranca (solo l'ultimo sabato del mese) / Tregnago / Bovolone vengono eseguiti su prenotazione telefonica al numero 045 6999581 o recandosi personalmente presso la segreteria del laboratorio analisi; in entrambi i casi dal lunedì al venerdì dalle 11:30 alle 12:30.
Libero Accesso,solo San Bonifacio dalle 10.30 - 11.30 
Borgo Trento,"Verona Nord
Non gestiti da noi 045 81 22 155 (anche Lun - Gio 045 8124353) - è un'azienda ospedaliera (ha gestione privata)"
Borgo Roma,"Verona Sud
Non gestiti da noi 045 81 24 308  (anche Lun - Gio 045 8124353) - è un'azienda ospedaliera (ha gestione privata)
Ci si può presentare senza prenotazione, di persona, dal Lunedi al Venerdì dalle 7.30 alle 10"
Patente,Il paziente riceve una Raccomandata / PEC con la richiesta da parte della commissione patente (motorizzazione): c'è indicato su quali strutture può andare (solitamente Via Poloni / San Bonifacio / Bussolengo). Hanno 20gg di tempo 
Impegnativa / Ricetta,Non si fanno prelievi senza Impegnativa. Solo nei casi di ritiro / rinnovo patente ci sono dei casi di cui l'impegnativa diventa il foglio di richiesta che hanno ricevuto dalla motorizzazione
Gravidanza,Le donne in gravidanza / incinta hanno la priorità d'ingresso
Prenotazione NON necessaria,"La prenotazione non è necessaria in caso di: 
- utenti con impegnative per esami urgenti (priorità U); 
- PT-INR per il monitoraggio della terapia anticoagulante orale; 
- emocromo per terapia; 
- utenti pediatrici (0-3 anni), disabili e donne in gravidanza; 
- consegna di materiale biologico (ad es. campione di urine). 
Anche in questi casi è sempre comunque consigliata."
Antibiotici,almeno una settimana di attesa dalla fine della terapia (alcuni dicono anche 20gg dalla terapia antibiotica)
Curva da Carico / Glucosio / Insulina,Tutto tramite CUP
Tamponi,"Cerca la tipologia di tampone specifico e NON prenotare nei distretti piccoli (Ricerca possibile ""PICCOLI DISTRETTI"")"
Tampone Ostetrico / Vaginale / Vagino-Rettale,"Prenotabile solo tramite CUP - poi sembra che vengano a farlo al laboratorio analisi, Ma rimane prenotabile solo con il CUP"
Tampone Faringeo,"Adulti su tutti i laboratori (NO: piccoli distretti, Malcesine e Domegliara) | Bambini solo Lab San Bonifacio"
Tampone Auricolare,Nei laboratori di Legnago e Verona Via Poloni
Tampone Ungueale / Uretrale,"Nei laboratori di Legnago e San Bonifacio
(No Sabato e NO D4)"
Tampone Balano Prepuziale,Nei laboratori di Legnago e San Bonifacio
Tampone Catarro / Campione Muco,Tutti i laboratori (NO: piccoli distretti)
Tampone B19 / Parvovirus,Non gestito ne nei laboratori ne al Cup - Non ci sono altre info in merito
Tampone Linguale,Nel solo laboratorio di San Bonifacio
Tampone Cute,Tutti i laboratori (NO: piccoli distretti)
Piccoli Distretti,Bardolino / Malcecine / Domegliara / Sommacampagna
Validità impegnative di laboratorio,Secondo quanto indicato nel Piano Regionale del Governo delle Liste di Attesa (PRGLA) la validità delle impegnative è pari a 180 giorni dalla data di emissione
Curva da PROLATTINA,Solo San Bonifacio e Legnago
Esame GENETICO,"solo Legnago, Borgo Trento e Borgo Roma"
Allergie,Pannello Alimentare Legnago San Bonifacio e Marzana (anche qui a digiuno) / Pannello Inalanti CUP
Ormone Anti-Mulleriano (o AMM),Non gestito No Laboratorio e No CUP
Tempi,4/5gg per esami semplici / 10gg per esami complessi
Prelievi a domicilio - ADI,"bisogna andare sul sito Ulss9 sulla sezione Prelevi a Domicilio, ricercare il comune del paziente e comunicare il numero (con l'orario) della sede Ulss che gestisce la zona
https://www.aulss9.veneto.it/index.cfm?action=adi.default"
Screening Epatite C,"Si prenota solo tramite il sito dell'ULSS9: indicazioni sccreening > direttive prenotazione sulls Dx
https://scaligera.myprenota.it/screeeninghcv"
Cariotipo,solo Legnagno (tramite CUP al tasto 3) oppure Borgo Trento / Borgo Roma
Fibrosi cistica,solo Legnagno (tramite CUP al tasto 3) oppure Borgo Trento / Borgo Roma
Comadin Cumadin (si scrive Coumadin),"anti-coaugulante - serve tenerlo monitorato nel sangue. E' una terapia a tutti gli effetti e non necesiterebbe di prenotazione, ma spesso gli operatori la richiedono."
IGE,in tutte i punti prelievi
RAST IGE,in tutte i punti prelievi
Codici di prenotazione,Bovolone / Bussolengo / Legnago / San Bonifacio / Tregnago / Verona Via Poloni / Villafranca
Digiuno,sempre andare a digiuno per gli esami di laboratorio (dalla mezzanotte va bene) - qualche bicchiere di acqua va bene MA non troppa
Laboratorio Analisi,San Bonifacio 045 6138471 lun-ven 13-15 / Legnago 0442 62 22 64 lun-ven 10.30 14.30 / Bussolengo 045 6712174 lun-ven 12-16
Prelievi a pagamento (LP Libera Professione),non si hanno informazioni in merito. Noi gestiamo solo con SSN (Servizio Sanitario Nazionale) cioè con Impegnativa. 
Spermiogramma,Servizio sospeso per quanto riguarda ULSS9 - sentire AOUI oppure altre Ulss (es. Vicenza)
Ligozospermia,Servizio sospeso per quanto riguarda ULSS9 - sentire AOUI oppure altre Ulss (es. Vicenza)
Antigene Prostatico (o PSA),"esame del sangue (anche se sembra, è un prelievo)"
Urine,La prenotazione non è necessaria in caso di consegna di materiale biologico. Munirsi dell’apposito sistema di raccolta disponibile presso i Centri Prelievi (o le Farmacie). Si deve reperire il contenitore tramite farmacia o con impegnativa in una struttura Ulss9 viene consegnato gratuitamente
Feci,La prenotazione non è necessaria in caso di consegna di materiale biologico. Munirsi dell’apposito sistema di raccolta disponibile presso i Centri Prelievi (o le Farmacie). Si deve reperire il contenitore tramite farmacia o con impegnativa in una struttura Ulss9 viene consegnato gratuitamente
ESAME URINE STANDARD,"ESECUZIONE 1. Lavarsi accuratamente le mani ed i genitali esterni con acqua e sapone e risciacquare abbondantemente con acqua corrente 2. Raccogliere nel vasetto le urine della prima minzione del mattino scartando la parte iniziale e finale della minzione (mitto intermedio) senza toccare la parte interna del contenitore. 3. Riempire il vasetto per circa 3 /4 richiuderlo bene con il coperchio 4. Togliere l'etichetta adesiva dal coperchio inserire all’interno del dispositivo di aspirazione la provetta tappo giallo e fare una leggera pressione, mantenere la pressione fino al riempimento della provetta ( l’ urina sarà aspirata automaticamente dalla provetta) 5. Togliere la provetta così riempita dal contenitore e consegnare il campione entro 2 ore dalla raccolta. CONSIGLI Nelle donne si consiglia di attendere almeno 3 giorni dalla fine del ciclo mestruale."
URINOCOLTURA,"ESECUZIONE 1. Lavarsi accuratamente le mani ed i genitali esterni con acqua e sapone e risciacquare abbondantemente con acqua corrente 2. Raccogliere nel vasetto le urine della prima minzione del mattino scartando la parte iniziale e finale della minzione (mitto intermedio) senza toccare la parte interna del contenitore. 3. Chiudere immediatamente il contenitore avvitandolo correttamente per evitare sia le fuoriuscite che la contaminazione. 4. Togliere l'etichetta adesiva dal coperchio inserire all’interno del dispositivo di aspirazione la provetta tappo bianco e fare una leggera pressione, mantenere la pressione fino al riempimento della provetta (l’urina sarà aspirata automaticamente dalla provetta). 5. Consegnare al Laboratorio entro 1 ora."
URINE 24 ORE,"ESECUZIONE 1. Al mattino il paziente deve svuotare la vescica scartando le urine della notte. 2. In seguito si dovranno raccogliere tutte le urine della giornata comprese quelle della notte e la prima della mattina seguente (24 ore). 3. Conservare il contenitore delle urine in un luogo fresco. 4. Mescolare per capovolgimento tutte le urine del contenitore, misurare la quantità in esso contenuta attraverso la scala graduata stampata sul contenitore e annotare sull’impegnativa il il volume dell’urina misurato dal bidone. 5. Inserire le provette (due o più in base agli esami richiesti) fornite dal Centro Prelievi all’interno del dispositivo di aspirazione (le provette sono sottovuoto e si riempiono da sole). 6. Portare le provette al Centro Prelievi nel più breve tempo possibile."
URINE 24 ORE ACIDIFICATE,"Per il dosaggio dosaggio di: - Acido Idrossiindolacetico - Metanefrine su urine - Acido Omovanilico - Ossalati su urine - Acido Vanilmandelico (VMA) - Piombo su urine - Calcio su urine - Rame su urine - Catecolamine su urine - Zinco su urine - Fosforo su urine.
Munirsi dell’apposito sistema di raccolta disponibile presso i Centri Prelievi. Il Centro prelievi fornisce il conservante (acido cloridrico) in una provetta.
ESECUZIONE:
1. Al mattino il paziente deve svuotare la vescica scartando le urine della notte.
2. In seguito si dovranno raccogliere tutte le urine della giornata comprese quelle della notte e la prima della mattina seguente. Il conservante va aggiunto nel bidone dopo la prima raccolta di urina.
3. Conservare il contenitore delle urine in un luogo fresco.
4. Mescolare per capovolgimento tutte le urine del contenitore, misurare la quantità in esso contenuta attraverso la scala graduata stampata sul contenitore e annotare sull’impegnativa il volume dell’urina misurato dal bidone.
5. inserire le provette (due o più in base agli esami richiesti) fornite dal Centro prelievi all’interno del dispositivo di aspirazione (le provette sottovuoto si riempiono da sole).
6. Portare le provette al Centro prelievi nel più breve tempo possibile.

 CONSIGLI: a causa della pericolosità del conservante si consiglia fare particolare attenzione nel maneggiarela provetta contenente acido cloridrico e di tenere lontano dalla portata dei BAMBINI
"
RACCOLTA URINE PER URINOCULTURA CON SACCHETTINO - PRIMA INFANZIA | URINE 24 ORE ACIDIFICATE CON ACIDO BORICO,"Munirsi dell’apposito sistema di raccolta disponibile presso i Centri Prelievi. Il Centro prelievi fornisce il conservante (acido borico). ESECUZIONE 1. Al mattino il paziente deve svuotare la vescica scartando le urine della notte. 2. In seguito si dovranno raccogliere tutte le urine della giornata comprese quelle della notte e la prima della mattina seguente. Il conservante va aggiunto nel bidone dopo la prima raccolta di urina. 3. Conservare il contenitore delle urine in un luogo fresco. 4. Mescolare per capovolgimento tutte le urine del contenitore, misurare la quantità in esso contenuta attraverso la scala graduata stampata sul contenitore e scrivere a matita sull’impegnativa il volume dell’urina misurato dal bidone. 5. Inserire le provette (due o più in base agli esami richiesti) fornite dal Centro prelievi all’interno del dispositivo di aspirazione (le provette sottovuoto si riempiono da sole). 6. Portare le provette al Centro prelievi annotando sull’etichetta il volume dell’urina misurata dal bidone CONSIGLI A causa della pericolosità del conservante si consiglia fare particolare attenzione nel maneggiare il conservante e di tenere lontano dalla portata dei BAMBINI"
RACCOLTA URINE PER URINOCOLTURA CON SACCHETTINO - PRIMA INFANZIA,"INFORMAZIONI 1. Utilizzare per la raccolta l’apposito sacchetto sterile adesivo acquistabile in Farmacia ed il contenitore sterile con tappo a vite fornito dai Centri Prelievi (o in Farmacia). ESECUZIONE 2. Prima di iniziare la raccolta lavarsi bene le mani con acqua e sapone. 3. Lavare bene i genitali esterni e le zone circostanti (perineo) del bambino con acqua e sapone, sciacquare accuratamente con acqua e asciugare. 4. Applicare il sacchettino di plastica sterile facendolo aderire bene ai genitali. 5. Raccogliere le prime urine del mattino tenendo il sacchetto attaccato per non più di 45-60 minuti. 6. Se trascorso tale periodo di tempo il bambino non ha ancora urinato, staccare e buttare il sacchetto e ripetere tutta la procedura, compreso il lavaggio, utilizzando un nuovo sacchetto sterile. 7. Quando nel sacchettino si sarà raccolta una quantità sufficiente di urina (almeno 3 mL) togliere subito il sacchetto e richiuderlo utilizzando l’apposita linguetta adesiva. 8. Riporre il sacchetto (non travasarlo!) nel contenitore sterile avvitando bene il tappo 9. Consegnare al Laboratorio entro 1 ora"
SCOTCH TEST PER RICERCA OSSIURI,"INFORMAZIONI Ritirare il materiale in laboratorio prima dell’esame (vetrini e porta-vetrini). A casa procurarsi una striscia di nastro adesivo trasparente (scotch) Eseguire la raccolta al momento del risveglio mattutino e prima di eventuale defecazione Non lavare la zona perianale prima della raccolta e non applicare creme o borotalco
ESECUZIONE
• Proteggere le mani con guanti monouso
• Tagliare un pezzetto di nastro adesivo lungo come il vetrino
• Divaricare le natiche del paziente, poi aiutandosi col pollice, fare aderire bene il nastro adesivo in tutta
la sua lunghezza alla zona anale avendo cura di premerlo più volte con il pollice.
• Staccare il nastro adesivo ed incollarlo ben disteso sul vetrino evitando la formazione di bolle d’aria.
• Conservare i vetrini a temperatura ambiente nel portavetrini e consegnarli al punto prelievi dove è stato
ritirato il materiale."
RICERCA SANGUE OCCULTO NELLE FECI,"INFORMAZIONI Non è necessario praticare alcuna dieta prima del test. Non eseguire il test durante il periodo mestruale né se si è affetti da emorroidi con sanguinamento. Evitare la contaminazione delle feci con le urine. Si consiglia di disporre uno o due strati di carta igienica nel WC in modo da trattenere le feci per il tempo necessario ad eseguire il prelievo con l’apposita asticella. Il test va effettuato su un solo campione. Attenzione: la soluzione all’interno dei contenitori con l’asticella di raccolta è tossica: non ingerire né lasciare alla portata di bambini!!
ESECUZIONE
1. Svitare ed estrarre il tappo dell’asticella dal contenitore.
2. Strisciare l’asticella sopra le feci in orizzontale e in verticale
3. Reinserire l’asticella nel tubo, riavvitare ed agitare
4. Inserire nell’apposita busta di plastica verde e chiuderla
5. Conservare in frigorifero
6. Consegnare al Centro Prelievi "
RACCOLTA FECI : Calprotectina fecale,"1. Raccogliere le feci in un recipiente pulito 2. Le feci non devono essere contaminate con urina o con acqua. 3. Con la palettina raccogliere un campione di feci e inserirlo nel contenitore feci (circa una noce), con la raccomandazione di non riempire il contenitore! 4. Chiudere bene il contenitore facendo attenzione a non sporcarlo all’esterno. 5. Consegnare il materiale al centro prelievi quanto prima; se non è possibile, i campioni si possono conservare in frigorifero a 4°C per massimo 24 ore."
RACCOLTA FECI :  Giardia,"1. Raccogliere le feci in un recipiente pulito 2. Le feci non devono essere contaminate con urina o con acqua. 3. Con la palettina raccogliere un campione di feci e inserirlo nel contenitore feci (circa una noce), con la raccomandazione di non riempire il contenitore! 4. Chiudere bene il contenitore facendo attenzione a non sporcarlo all’esterno. 5. Consegnare il materiale al centro prelievi quanto prima; se non è possibile, i campioni si possono conservare in frigorifero a 4°C per massimo 24 ore."
RACCOLTA FECI : Helicobacter Pylori,"1. Raccogliere le feci in un recipiente pulito 2. Le feci non devono essere contaminate con urina o con acqua. 3. Con la palettina raccogliere un campione di feci e inserirlo nel contenitore feci (circa una noce), con la raccomandazione di non riempire il contenitore! 4. Chiudere bene il contenitore facendo attenzione a non sporcarlo all’esterno. 5. Consegnare il materiale al centro prelievi quanto prima; se non è possibile, i campioni si possono conservare in frigorifero a 4°C per massimo 24 ore."
RACCOLTA FECI : Ricerca Tossina del Clostridium difficile Virus Enteropatogeni (Rotavirus-Adenovirus),"1. Raccogliere le feci in un recipiente pulito 2. Le feci non devono essere contaminate con urina o con acqua. 3. Con la palettina raccogliere un campione di feci e inserirlo nel contenitore feci (circa una noce), con la raccomandazione di non riempire il contenitore! 4. Chiudere bene il contenitore facendo attenzione a non sporcarlo all’esterno. 5. Consegnare il materiale al centro prelievi quanto prima; se non è possibile, i campioni si possono conservare in frigorifero a 4°C per massimo 24 ore."
RACCOLTA FECI : Coprocoltura,"DISPOSITIVO PER LA RACCOLTA Sistema dedicato alla raccolta ed al trasporto di batteri patogeni gastroenterici (Enterobatteri fecali ), provetta 12X80 mm , tappo verde con terreno di trasporto liquido, conservazione del dispositivo temperatura 5 - 25 °C.
ESECUZIONE
1. Utilizzare la sonda floccata per raccogliere il campione
- Se feci liquide o semisolide: immergervi la sonda floccata.
- Se feci solide: introdurre la sonda floccata nel materiale fecale o strisciarlo varie volte sulla
 superficie dello stesso.
2. Svitare il tappo in maniera asettica e toglierlo dalla provetta.
3. Introdurre la sonda floccata utilizzata per raccogliere le feci nella provetta e rompere l’applicatore nel
punto indicato dalla linea colorata. Smaltire la parte rotta dello stelo in un apposito contenitore per
rifiuti medicali.
4. Riavvitare il tappo sulla provetta chiudendola con forza ed assicurarsi che non fuoriesca il materiale.
5. Sulla etichetta scrivere nome e cognome del paziente e data di raccolta del campione.
6. Il campione tenuto a 4 – 8 °C va consegnato al laboratorio il più presto possibile."
RACCOLTA FECI : Salmonella,"DISPOSITIVO PER LA RACCOLTA Sistema dedicato alla raccolta ed al trasporto di batteri patogeni gastroenterici (Enterobatteri fecali ), provetta 12X80 mm , tappo verde con terreno di trasporto liquido, conservazione del dispositivo temperatura 5 - 25 °C.
ESECUZIONE
1. Utilizzare la sonda floccata per raccogliere il campione
- Se feci liquide o semisolide: immergervi la sonda floccata.
- Se feci solide: introdurre la sonda floccata nel materiale fecale o strisciarlo varie volte sulla
 superficie dello stesso.
2. Svitare il tappo in maniera asettica e toglierlo dalla provetta.
3. Introdurre la sonda floccata utilizzata per raccogliere le feci nella provetta e rompere l’applicatore nel
punto indicato dalla linea colorata. Smaltire la parte rotta dello stelo in un apposito contenitore per
rifiuti medicali.
4. Riavvitare il tappo sulla provetta chiudendola con forza ed assicurarsi che non fuoriesca il materiale.
5. Sulla etichetta scrivere nome e cognome del paziente e data di raccolta del campione.
6. Il campione tenuto a 4 – 8 °C va consegnato al laboratorio il più presto possibile."
RACCOLTA FECI : Yersinia,"DISPOSITIVO PER LA RACCOLTA Sistema dedicato alla raccolta ed al trasporto di batteri patogeni gastroenterici (Enterobatteri fecali ), provetta 12X80 mm , tappo verde con terreno di trasporto liquido, conservazione del dispositivo temperatura 5 - 25 °C.
ESECUZIONE
1. Utilizzare la sonda floccata per raccogliere il campione
- Se feci liquide o semisolide: immergervi la sonda floccata.
- Se feci solide: introdurre la sonda floccata nel materiale fecale o strisciarlo varie volte sulla
 superficie dello stesso.
2. Svitare il tappo in maniera asettica e toglierlo dalla provetta.
3. Introdurre la sonda floccata utilizzata per raccogliere le feci nella provetta e rompere l’applicatore nel
punto indicato dalla linea colorata. Smaltire la parte rotta dello stelo in un apposito contenitore per
rifiuti medicali.
4. Riavvitare il tappo sulla provetta chiudendola con forza ed assicurarsi che non fuoriesca il materiale.
5. Sulla etichetta scrivere nome e cognome del paziente e data di raccolta del campione.
6. Il campione tenuto a 4 – 8 °C va consegnato al laboratorio il più presto possibile."
RACCOLTA FECI PER PARASSITI,ESECUZIONE Fase 1 Aprire il contenitore apposito ( ritirare presso il Centro Prelievi ) Fase 2 Introdurre il campione di feci utilizzando l’apposita spatola contenuta nel tappo (il campione non deve superare la grandezza di un pisello). Fase 3 Chiudere bene e agitare il contenitore per omogeneizzare il campione. * Attenzione al liquido conservante: non va buttato né ingerito. Tenere lontano dalla portata dei bambini
